id,vulnerability_name,severity,cwe_code,location,verdict,explanation
34,"Possible SQL injection vector through string-based query construction.",MEDIUM,CWE-89,sqli/dao/student.py:42,TRUE POSITIVE,"A construção de consultas SQL através da concatenação de strings é uma prática perigosa que abre uma brecha para ataques de injeção de SQL."
35,"Regular Expression DoS (ReDoS)",LOW,CWE-1333,sqli/static/js/materialize.js:565,FALSE POSITIVE,"A vulnerabilidade de ReDoS foi encontrada em um arquivo de biblioteca de terceiros (materialize.js), não no código da aplicação. Portanto, é um falso positivo no contexto da análise do código customizado."
36,"SQL Injection",CRITICAL,CWE-89,sqli/dao/student.py:42-45,TRUE POSITIVE,"A aplicação é vulnerável a injeção de SQL na funcionalidade de criação de estudantes, permitindo que um atacante execute comandos SQL arbitrários no banco de dados."
37,"SQL Injection",CRITICAL,CWE-89,sqli/dao/student.py:45,TRUE POSITIVE,"Esta é uma repetição da vulnerabilidade de ID 36, confirmando a presença de uma falha crítica de injeção de SQL que pode levar ao comprometimento total do banco de dados."
38,"SQL Injection",High,CWE-89,src/dvpwa/sqli/dao/student.py:42,TRUE POSITIVE,"A vulnerabilidade de injeção de SQL permite a manipulação de consultas ao banco de dados, podendo resultar em vazamento de dados, bypass de autenticação e execução remota de código."
39,"SQL injection via string formatting in Student.create",High,CWE-89,sqli/dao/student.py:42-45,TRUE POSITIVE,"O uso de formatação de string para inserir dados do usuário diretamente em uma consulta SQL é a causa da vulnerabilidade de injeção de SQL."
40,"Service 'redis' allows for privilege escalation via setuid or setgid binaries. Add 'no-new-privileges:true' in 'security_opt' to prevent this.",WARNING,CWE-732,docker-compose.yml:11,TRUE POSITIVE,"A configuração do serviço Redis no docker-compose.yml permite a escalada de privilégios. A adição de 'no-new-privileges:true' mitigaria esse risco."
41,"Service 'redis' is running with a writable root filesystem. This may allow malicious applications to download and run additional payloads, or modify container files. If an application inside a container has to save something temporarily consider using a tmpfs. Add 'read_only: true' to this service to prevent this.",WARNING,CWE-732,docker-compose.yml:11,TRUE POSITIVE,"O sistema de arquivos do contêiner Redis é gravável, o que representa um risco de segurança. Torná-lo somente leitura ('read_only: true') aumentaria a segurança do contêiner."
42,"Session Fixation",HIGH,N/A,"sqli/views.py:42; sqli/middlewares.py:20",TRUE POSITIVE,"A aplicação não regenera o ID da sessão após o login, tornando-a vulnerável a ataques de fixação de sessão, onde um atacante pode sequestrar a sessão de um usuário."
43,"Session cookie missing HttpOnly",High,CWE-1004,sqli/middlewares.py:20-22,TRUE POSITIVE,"O cookie de sessão não possui a flag HttpOnly, o que o torna acessível a scripts do lado do cliente e aumenta o risco de roubo de sessão através de ataques XSS."
44,"Session cookie missing Secure attribute",Medium,CWE-614,sqli/middlewares.py:20-22,TRUE POSITIVE,"O cookie de sessão não possui a flag Secure, o que permite que ele seja transmitido em conexões não criptografadas (HTTP), expondo-o a ataques de sniffing."
45,"Stored Cross-Site Scripting (XSS)",HIGH,CWE-79,"sqli/app.py:35; sqli/views.py:121-129",TRUE POSITIVE,"A aplicação é vulnerável a XSS armazenado, onde scripts maliciosos são salvos no banco de dados e executados sempre que a página vulnerável é carregada."
46,"Unescaped user content in templates (course and reviews)",Medium,CWE-79,sqli/templates/course.jinja2:14-23,TRUE POSITIVE,"O conteúdo do usuário nos templates de curso e avaliações não é escapado, o que é a causa raiz de várias vulnerabilidades de XSS na aplicação."
47,"Use of weak MD5 hash for security. Consider usedforsecurity=False",HIGH,CWE-327,sqli/dao/user.py:41,TRUE POSITIVE,"O uso de MD5 para segurança é fortemente desaconselhado. A aplicação deveria usar algoritmos de hashing de senha mais robustos como Argon2, bcrypt ou PBKDF2."
48,"Weak Password Hashing",HIGH,CWE-327,sqli/dao/user.py:45,TRUE POSITIVE,"A utilização de um algoritmo de hashing fraco para senhas é uma vulnerabilidade crítica que pode levar ao comprometimento de todas as contas de usuário."
49,"Weak Password Hashing (MD5)",HIGH,CWE-327,sqli/dao/user.py:41,TRUE POSITIVE,"Esta é uma repetição da vulnerabilidade de hashing de senha fraco, enfatizando o risco associado ao uso de MD5 para proteger as senhas dos usuários."
50,"yaml.docker-compose.security.no-new-privileges.no-new-privileges",WARNING,CWE-732,docker-compose.yml:11,TRUE POSITIVE,"A falta da opção de segurança 'no-new-privileges' no docker-compose.yml é uma falha de configuração que pode permitir a escalada de privilégios dentro do contêiner."

